A,W,MT,ID
16,2,1717,3
16,2,1565,3
16,2,1044,3
16,2,1161,3
16,2,1250,3
16,4,829,2
16,4,0,2
16,4,0,2
16,4,0,2
16,4,0,2
64,4,1738,4
64,4,1662,4
64,4,1230,4
64,4,1417,4
64,4,759,4
32,1,701,5
32,1,1475,5
32,1,1321,5
32,1,2168,5
32,1,1886,5
32,2,1147,4
32,2,905,4
32,2,931,4
32,2,946,4
32,2,1632,4
32,4,1536,3
32,4,1704,3
32,4,1348,3
32,4,1036,3
32,4,792,3
64,2,1244,5
64,2,2329,5
64,2,2696,5
64,2,1941,5
64,2,896,5
16,1,34870,4
16,1,2956,4
16,1,1374,4
16,1,788,4
16,1,833,4
64,1,1025,6
64,1,1488,6
64,1,1695,6
64,1,1654,6
64,1,2441,6
