,,,
A,W,MT,ID
32,1,780,5
32,1,844,5
32,1,647,5
32,1,777,5
32,1,714,5
16,4,0,2
16,4,687,2
16,4,669,2
16,4,636,2
16,4,583,2
64,2,730,5
64,2,666,5
64,2,707,5
64,2,646,5
64,2,690,5
64,1,697,6
64,1,628,6
64,1,600,6
64,1,548,6
64,1,633,6
32,4,579,3
32,4,541,3
32,4,616,3
32,4,576,3
32,4,815,3
16,2,614,3
16,2,604,3
16,2,564,3
16,2,604,3
16,2,589,3
16,1,599,4
16,1,573,4
16,1,581,4
16,1,559,4
16,1,622,4
64,4,577,4
64,4,493,4
64,4,575,4
64,4,547,4
64,4,983,4
32,2,591,4
32,2,501,4
32,2,588,4
32,2,565,4
32,2,613,4
